Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Kylen Granson,TE,24,13,1,61.2,,GranKy00
Justice Hill,RB,25,15,2,42.0,,HillJu00
Marlon Mack,RB,26,8,0,38.3,,MackMa00
Irv Smith Jr.,TE,24,8,1,55.2,,SmitIr01
Shane Zylstra,TE,26,13,0,41.0,,ZylsSh00
Ameer Abdullah,RB,29,17,0,54.1,,AbduAm00
DeeJay Dallas,RB,24,15,1,46.2,,DallDe00
Jake Ferguson,TE,23,16,0,48.4,,FergJa00
Peyton Hendershot,TE,23,17,1,39.5,,HendPe01
J.D. McKissic,RB,29,8,0,55.8,,McKiJ.00
Dare Ogunbowale,RB,28,17,0,48.7,,OgunDa00
Wan'Dale Robinson,WR,21,6,0,51.6,,RobiWa01
Dyami Brown,WR,23,15,0,32.8,,BrowDy00
Malik Davis,RB,24,12,0,34.4,,DaviMa02
Ashton Dulin,WR,25,12,0,42.5,,DuliAs00
KhaDarel Hodge,WR,27,17,0,41.2,,HodgKh00
Travis Homer,RB,24,10,1,43.1,,HomeTr00
O.J. Howard,TE,28,13,0,36.5,,HowaO.00
Velus Jones Jr.,WR,25,12,3,34.0,,JoneVe00
Josh Oliver,TE,25,17,0,40.9,,OlivJo00
Adam Trautman,TE,25,15,0,44.7,,TrauAd00
Byron Pringle,WR,29,11,0,35.5,,PrinBy00
Javonte Williams,RB,22,4,1,42.0,,WillJa10
Jonnu Smith,TE,27,14,1,52.0,,SmitJo01
Durham Smythe,TE,27,16,0,40.0,,SmytDu00
Gary Brightwell,RB,23,17,0,29.0,,BrigGa00
Connor Heyward,TE,23,17,0,35.8,,HeywCo00
Jalen Nailor,WR,23,15,0,32.9,,NailJa00
Brandon Powell,WR,27,17,1,47.6,,PoweBr00
Khalil Shakir,WR,22,14,0,34.1,,ShakKh00
Alec Ingold,FB,26,17,0,38.3,,IngoAl01
Teagan Quitoriano,TE,22,9,0,30.3,,QuitTe00
Amari Rodgers,WR,23,16,6,39.1,,RodgAm00
Marquez Callaway,WR,24,14,0,37.8,,CallMa01
River Cracraft,WR,28,11,0,31.2,,CracRi00
Craig Reynolds,RB,26,9,0,30.8,,ReynCr00
Kyren Williams,RB,22,10,0,30.5,,WillKy02
David Bell,WR,22,16,0,45.4,,BellDa02
Joshua Dobbs,QB,27,2,4,20.8,,DobbJo00
Jody Fortson,TE,27,13,1,29.8,,FortJo01
C.J. Ham,FB,29,17,0,31.3,,HamxC.00
Marcedes Lewis,TE,38,17,0,26.6,,LewiMa00
Skyy Moore,WR,22,16,3,43.4,,MoorSk01
Zach Pascal,WR,28,17,0,36.0,,PascZa00
Eric Saubert,TE,28,17,0,35.8,,SaubEr00
Sterling Shepard,WR,29,3,0,34.4,,ShepSt00
Davis Webb,QB,27,1,0,20.8,,WebbDa00
Avery Williams,RB,24,17,1,34.0,,WillAv02
Mike Boone,RB,27,9,0,28.8,,BoonMi00
Keelan Cole,WR,29,14,1,30.1,,ColeKe00
Johnny Mundt,TE,28,17,0,39.0,,MundJo00
Pierre Strong,RB,24,15,0,27.2,,StroPi00
Ian Thomas,TE,26,17,0,40.7,,ThomIa00
Eric Tomlinson,TE,30,17,0,28.9,,TomlEr01
Mitchell Wilcox,TE,26,16,0,36.9,,WilcMi01
David Blough,QB,27,2,1,18.6,,BlouDa00
Tevin Coleman,RB,29,5,0,22.0,,ColeTe01
KJ Hamler,WR,23,7,0,25.8,,HamlKJ00
Scott Miller,WR,25,15,0,42.3,,MillSc01
Denzel Mims,WR,25,10,0,29.6,,MimsDe00
Donald Parham,TE,25,6,0,29.0,,ParhDo00
Jalen Reagor,WR,23,17,4,26.9,,ReagJa00
Jonathan Williams,RB,28,13,0,26.2,,WillJo07
Malik Willis,QB,23,8,3,19.3,,WillMa12
Brandon Bolden,RB,32,16,0,27.3,,BoldBr00
Malcolm Brown,RB,29,11,0,22.8,,BrowMa03
Lawrence Cager,TE,25,7,0,30.8,,CageLa01
N'Keal Harry,WR,25,7,0,24.6,,HarrNK00
Sam Howell,QB,22,1,0,18.3,,HoweSa00
Brett Rypien,QB,26,4,4,18.0,,RypiBr00
John Bates,TE,25,16,1,30.8,,BateJo00
Cameron Brate,TE,31,11,0,37.4,,BratCa00
Corey Clement,RB,28,9,0,21.9,,ClemCo00
Ross Dwelley,TE,27,12,0,19.5,,DwelRo00
James Mitchell,TE,23,14,0,28.3,,MitcJa00
Steven Sims,WR,25,12,3,31.4,,SimsSt00
Benny Snell Jr.,RB,24,17,0,18.7,,SnelBe00
Skylar Thompson,QB,25,7,2,17.5,,ThomSk00
Darrel Williams,RB,27,6,0,21.1,,WillDa10
Kyle Allen,QB,26,2,4,15.9,,AlleKy00
Jeff Driskel,QB,29,7,0,17.2,,DrisJe00
Sony Michel,RB,27,10,0,24.9,,MichSo00
Albert Okwuegbunam,TE,24,8,0,25.5,,OkwuAl00
Hassan Haskins,RB,23,15,0,26.0,,HaskHa00
DeSean Jackson,WR,36,7,0,24.3,,JackDe00
Ronald Jones II,RB,25,6,0,16.2,,JoneRo01
Bryce Perkins,QB,26,5,0,15.4,,PerkBr02
Anthony Schwartz,WR,22,11,1,18.8,,SchwAn00
Derek Watt,FB,30,17,0,20.2,,WattDe00
John Wolford,QB,27,3,3,14.8,,WolfJo00
Dan Arnold,TE,27,17,0,22.5,,ArnoDa00
Kenny Golladay,WR,29,12,0,20.1,,GollKe00
